threshold,n_episodes,h3_n,h3_median_real_price_ret,h3_median_e10_growth,h3_median_max_dd,h3_pct_with_20dd,h3_pct_negative_real,h5_n,h5_median_real_price_ret,h5_median_e10_growth,h5_median_max_dd,h5_pct_with_20dd,h5_pct_negative_real,h10_n,h10_median_real_price_ret,h10_median_e10_growth,h10_median_max_dd,h10_pct_with_20dd,h10_pct_negative_real
25.0,13,12,-0.06881046970178067,0.1230916555233218,-0.2090350388493546,0.5,0.5,12,-0.06820827115392197,0.23312210876800865,-0.32654348208332123,0.5833333333333334,0.5833333333333334,9,0.25583883422099407,0.367104580331864,-0.44801350940456053,0.7777777777777778,0.4444444444444444
30.0,10,8,0.007177200263912442,0.13378552166433255,-0.24146361122346932,0.5,0.5,6,0.07249755808180591,0.22367257582814504,-0.29302708816915524,0.6666666666666666,0.3333333333333333,4,-0.27200075075967894,0.2848549104461221,-0.515675094707271,1.0,1.0
