episode_id,start_date,end_date,duration_months,peak_date,peak_cape,peak_idx,h3_end_date,h3_real_price_ret,h3_real_e10_growth,h3_cape_change,h3_end_cape,h3_max_drawdown,h3_trough_date,h5_end_date,h5_real_price_ret,h5_real_e10_growth,h5_cape_change,h5_end_cape,h5_max_drawdown,h5_trough_date,h10_end_date,h10_real_price_ret,h10_real_e10_growth,h10_cape_change,h10_end_cape,h10_max_drawdown,h10_trough_date,mechanism_10y,mechanism_5y
1,1901-06-01,1901-06-01,1,1901-06-01,25.238466205960343,245,1904-06-01,-0.2881803458677067,0.16138157628100802,-0.38687107558865064,15.474433638652656,-0.3234740310708123,1903-10-01,1906-06-01,-0.03960669331626199,0.33635805791271767,-0.27996153854207595,18.172666376497496,-0.3234740310708123,1903-10-01,1911-06-01,-0.02311066620764024,0.6029698191312329,-0.3926589849148866,15.328355684719284,-0.38203918583733265,1907-11-01,earnings_driven,earnings_driven
2,1928-11-01,1929-10-01,12,1929-09-01,32.5637885987767,584,1932-09-01,-0.6592961709026752,0.13021647303800643,-0.700244689451448,9.761168564063706,-0.8061431121969556,1932-06-01,1934-09-01,-0.6391091900018793,0.06831020121867315,-0.6649666837691394,10.909954083288849,-0.8061431121969556,1932-06-01,1939-09-01,-0.49941993519588523,-0.019466713278018966,-0.4947505715695798,16.452835577060963,-0.8061431121969556,1932-06-01,crash_driven,crash_driven
3,1930-04-01,1930-04-01,1,1930-04-01,25.843436862018308,591,1933-04-01,-0.6348769934787217,0.07388371530482041,-0.6624635611493177,8.723101646068113,-0.7658091123330715,1932-06-01,1935-04-01,-0.5625989047895534,0.011602363985951047,-0.5703276516031346,11.104210207149524,-0.7658091123330715,1932-06-01,1940-04-01,-0.41479631915609927,-0.08274533630962577,-0.36653206016925055,16.370988707128785,-0.7658091123330715,1932-06-01,crash_driven,crash_driven
4,1995-12-01,1995-12-01,1,1995-12-01,25.027380664939116,1379,1998-12-01,0.813523879050023,0.1655777313919906,0.5511121718974572,38.82027478009814,-0.006071665929951453,1996-01-01,2000-12-01,0.9104821724712109,0.2835779177491762,0.4893383571983103,37.27423800449718,-0.006071665929951453,1996-01-01,2005-12-01,0.6017523604646036,0.5160003982778683,0.05659491371933889,26.443803114292393,-0.006071665929951453,1996-01-01,no_reversion,no_reversion
5,1996-02-01,1996-06-01,5,1996-02-01,25.97606555059339,1381,1999-02-01,0.8071731661770831,0.15833464342499082,0.5552840036753393,40.40015922925994,-0.021684498328949586,1996-07-01,2001-02-01,0.771277804265996,0.28398173586703535,0.37952618658265846,35.834662651431266,-0.021684498328949586,1996-07-01,2006-02-01,0.5322142576561364,0.5167747938256881,0.010531202751127955,26.249624763583277,-0.021684498328949586,1996-07-01,no_reversion,no_reversion
6,1996-08-01,2002-06-01,71,1999-12-01,44.19793976104055,1427,2002-12-01,-0.4144591180224533,0.11596683800863716,-0.47731856591992106,23.101442537685617,-0.44469768946208743,2002-10-01,2004-12-01,-0.25765531414988185,0.20769271797815536,-0.3858354294000661,27.144808694741215,-0.46148000834951286,2003-02-01,2009-12-01,-0.39428324881536514,0.30920422738171593,-0.5401962939881138,20.32237650021655,-0.580691429106043,2009-03-01,crash_driven,crash_driven
7,2003-09-01,2005-09-01,25,2004-01-01,27.65854035573655,1476,2007-01-01,0.15055940646414534,0.1704334410751469,-0.01630612798537945,27.20753665680713,-0.060298675930120504,2004-08-01,2009-01-01,-0.3296129330958302,0.2100197339865344,-0.4513574562609791,15.174651936879666,-0.3296129330958302,2009-01-01,2014-01-01,0.273999763849587,0.41720256012737345,-0.10119591367095815,24.859609093632724,-0.41792400271778885,2009-03-01,earnings_driven,crash_driven
8,2005-11-01,2006-05-01,7,2006-01-01,26.468702626685708,1500,2009-01-01,-0.3642675421615229,0.09783282732070497,-0.4266945323727124,15.174651936879666,-0.3642675421615229,2009-01-01,2011-01-01,-0.09680984899158196,0.03827514775433705,-0.1318690698731756,22.978299430554983,-0.44801350940456053,2009-03-01,2016-01-01,0.25583883422099407,0.367104580331864,-0.08547964948331643,24.206167203878476,-0.44801350940456053,2009-03-01,earnings_driven,mixed
9,2006-08-01,2007-12-01,17,2007-05-01,27.548490451851254,1516,2010-05-01,-0.29039468037230365,-0.050158273671813025,-0.2565810938273333,20.48006863842341,-0.5101797636313998,2009-03-01,2012-05-01,-0.19686237137328866,0.058947635335478976,-0.23983248895816678,20.941467419743475,-0.5101797636313998,2009-03-01,2017-05-01,0.34687899720073645,0.26015682269714135,0.06406356571532501,29.31334498027143,-0.5101797636313998,2009-03-01,no_reversion,crash_driven
10,2014-06-01,2015-08-01,15,2015-02-01,26.99551369938325,1609,2018-02-01,0.22473086415674848,0.03311482852040992,0.1866928222218711,32.03538233925029,-0.09459604662789689,2016-02-01,2020-02-01,0.42820300162274805,0.2563726985992705,0.13832578282953012,30.729689264735743,-0.09459604662789689,2016-02-01,,,,,,,,incomplete,no_reversion
11,2015-10-01,2015-12-01,3,2015-11-01,26.22585189097193,1618,2018-11-01,0.2325062999082519,0.07992921498048777,0.1513671141069728,30.195583406705246,-0.08381773351911981,2016-02-01,2020-11-01,0.5556798928610809,0.2562244835494829,0.23821350900678429,32.47320409661256,-0.08381773351911981,2016-02-01,,,,,,,,incomplete,no_reversion
