date,event,category,direction_prior,T+5d,T+21d (~1mo),T+42d (~2mo),T+63d (~3mo),sign,T+5d_signed,T+21d (~1mo)_signed,T+42d (~2mo)_signed,T+63d (~3mo)_signed
2016-06-23,Brexit referendum vote,geopolitics,negative,-0.0068658115924774615,0.025766249318915517,0.03422476829726584,0.029770227067218668,-1.0,0.0068658115924774615,-0.025766249318915517,-0.03422476829726584,-0.029770227067218668
2016-11-08,Trump elected (1st term),politics,ambiguous,0.01890348281286017,0.048635193684836805,0.0586948617038272,0.07572484421071275,,,,,
2017-12-22,TCJA tax cuts signed,policy,positive,0.004636417538752999,0.05647761280410465,0.03524474760572316,-0.02670872588072112,1.0,0.004636417538752999,0.05647761280410465,0.03524474760572316,-0.02670872588072112
2018-03-22,Trump China tariffs (first round Sec 301),tariff,negative,-0.001067193656656295,0.010011449019000149,0.030087234546546892,0.03933799233833733,-1.0,0.001067193656656295,-0.010011449019000149,-0.030087234546546892,-0.03933799233833733
2018-12-19,Powell hawkish pivot / Q4 selloff trough,monetary,negative,-0.0072580962213370575,0.049015015068944026,0.10153661264642354,0.11080209437641414,-1.0,0.0072580962213370575,-0.049015015068944026,-0.10153661264642354,-0.11080209437641414
2019-01-04,Powell dovish pivot (Atlanta speech),monetary,positive,0.02508616749452901,0.0781323498223353,0.0822259360093955,0.13321836229741463,1.0,0.02508616749452901,0.0781323498223353,0.0822259360093955,0.13321836229741463
2020-01-15,US-China Phase One trade deal signed,tariff,positive,0.010960330790170853,0.027251271758279877,-0.2627726776843547,-0.16121304047152926,1.0,0.010960330790170853,0.027251271758279877,-0.2627726776843547,-0.16121304047152926
2020-03-11,WHO declares COVID pandemic,pandemic,negative,-0.13378460262244327,0.017515701627659787,0.06660584684787402,0.1516033688095084,-1.0,0.13378460262244327,-0.017515701627659787,-0.06660584684787402,-0.1516033688095084
2020-03-23,Fed unlimited QE / market bottom,monetary,positive,0.16039479904138038,0.22405854538922723,0.2759855275362627,0.33183246972045977,1.0,0.16039479904138038,0.22405854538922723,0.2759855275362627,0.33183246972045977
2020-11-09,Pfizer vaccine efficacy announced,pandemic,positive,0.021292583224180955,0.03387133934699266,0.06781001951821618,0.09641821437706673,1.0,0.021292583224180955,0.03387133934699266,0.06781001951821618,0.09641821437706673
2020-11-07,Biden elected,politics,ambiguous,0.021292583224180955,0.03387133934699266,0.06781001951821618,0.09641821437706673,,,,,
2021-01-06,Capitol riot / GA Senate runoff,politics,ambiguous,0.01632752830194281,0.036334247211321044,0.033399501353445396,0.08903678413820429,,,,,
2021-11-22,Powell renominated / hawkish pivot,monetary,negative,-0.02506957110448483,0.0029042330104627205,-0.060021964397369794,-0.10278850830494689,-1.0,0.02506957110448483,-0.0029042330104627205,0.060021964397369794,0.10278850830494689
2022-02-24,Russia invades Ukraine,geopolitics,negative,0.017288547337933034,0.05761710446419932,-0.026821394128862537,-0.07502103426687504,-1.0,-0.017288547337933034,-0.05761710446419932,0.026821394128862537,0.07502103426687504
2022-03-16,Fed first rate hike (post-COVID cycle),monetary,negative,0.02232433392786592,0.007937914963026448,-0.08368621857964323,-0.1396177018138637,-1.0,-0.02232433392786592,-0.007937914963026448,0.08368621857964323,0.1396177018138637
2022-06-15,Fed first 75bp hike,monetary,negative,0.0015133675780438305,0.010723358184468082,0.12746026178291703,0.02895929412399535,-1.0,-0.0015133675780438305,-0.010723358184468082,-0.12746026178291703,-0.02895929412399535
2022-11-30,ChatGPT public release,technology,positive,-0.03648761080070788,-0.060781825376668173,0.009537412754566255,-0.008484243697925541,1.0,-0.03648761080070788,-0.060781825376668173,0.009537412754566255,-0.008484243697925541
2023-03-10,SVB collapse,banking,negative,0.014155077440349485,0.06208603492078589,0.06904657151057804,0.10727080094657963,-1.0,-0.014155077440349485,-0.06208603492078589,-0.06904657151057804,-0.10727080094657963
2023-05-04,Fed signals pause,monetary,positive,0.016944131269909908,0.0510176166576143,0.08275171940611867,0.09769975572440813,1.0,0.016944131269909908,0.0510176166576143,0.08275171940611867,0.09769975572440813
2023-10-07,Hamas attack on Israel,geopolitics,negative,0.008719417301795733,0.009804882376352832,0.05604486001842643,0.09263821984730282,-1.0,-0.008719417301795733,-0.009804882376352832,-0.05604486001842643,-0.09263821984730282
2023-11-01,Fed pause confirmed (FOMC),monetary,positive,0.03362478463687075,0.08082981216440761,0.10452700951524846,0.1570670393652779,1.0,0.03362478463687075,0.08082981216440761,0.10452700951524846,0.1570670393652779
2024-04-13,Iran first direct strike on Israel,geopolitics,negative,-0.01017037980121126,0.03586946142106444,0.07090163840653466,0.11296913537380074,-1.0,0.01017037980121126,-0.03586946142106444,-0.07090163840653466,-0.11296913537380074
2024-09-18,Fed first rate cut (50bp),monetary,positive,0.018341825585555825,0.0389605485643228,0.043938304320495766,0.07413710510112238,1.0,0.018341825585555825,0.0389605485643228,0.043938304320495766,0.07413710510112238
2024-11-05,Trump re-elected (2nd term),politics,ambiguous,0.034206571880920834,0.04931903671995647,0.02160061615941167,0.04120078329127618,,,,,
2025-01-20,Trump 2nd term inauguration / Stargate $500B,politics,positive,0.003046969707660324,0.011224105769635617,-0.065173982701361,-0.13453801164550838,1.0,0.003046969707660324,0.011224105769635617,-0.065173982701361,-0.13453801164550838
2025-01-27,DeepSeek R1 shock,technology,negative,-0.0029499784467848433,-0.009394810107911482,-0.05451219697674191,-0.08384225839128691,-1.0,0.0029499784467848433,0.009394810107911482,0.05451219697674191,0.08384225839128691
