episode_id,start_date,end_date,duration_months,peak_date,peak_cape,peak_idx,h3_end_date,h3_real_price_ret,h3_real_e10_growth,h3_cape_change,h3_end_cape,h3_max_drawdown,h3_trough_date,h5_end_date,h5_real_price_ret,h5_real_e10_growth,h5_cape_change,h5_end_cape,h5_max_drawdown,h5_trough_date,h10_end_date,h10_real_price_ret,h10_real_e10_growth,h10_cape_change,h10_end_cape,h10_max_drawdown,h10_trough_date,mechanism_10y,mechanism_5y
1,1929-08-01,1929-09-01,2,1929-09-01,32.5637885987767,584,1932-09-01,-0.6592961709026752,0.13021647303800643,-0.700244689451448,9.761168564063706,-0.8061431121969556,1932-06-01,1934-09-01,-0.6391091900018793,0.06831020121867315,-0.6649666837691394,10.909954083288849,-0.8061431121969556,1932-06-01,1939-09-01,-0.49941993519588523,-0.019466713278018966,-0.4947505715695798,16.452835577060963,-0.8061431121969556,1932-06-01,crash_driven,crash_driven
2,1997-06-01,2001-08-01,51,1999-12-01,44.19793976104055,1427,2002-12-01,-0.4144591180224533,0.11596683800863716,-0.47731856591992106,23.101442537685617,-0.44469768946208743,2002-10-01,2004-12-01,-0.25765531414988185,0.20769271797815536,-0.3858354294000661,27.144808694741215,-0.46148000834951286,2003-02-01,2009-12-01,-0.39428324881536514,0.30920422738171593,-0.5401962939881138,20.32237650021655,-0.580691429106043,2009-03-01,crash_driven,crash_driven
3,2001-11-01,2002-01-01,3,2001-12-01,30.499953255020433,1451,2004-12-01,-0.027445231720688135,0.09578665662853925,-0.11000490827725928,27.144808694741215,-0.2944784334333319,2003-02-01,2006-12-01,0.08324951412240278,0.21611378446564267,-0.10548420978052409,27.28268978757168,-0.2944784334333319,2003-02-01,2011-12-01,-0.14971825270399275,0.27203727507346964,-0.32709485395511473,20.523575499431697,-0.45065876030849894,2009-03-01,mixed,earnings_driven
4,2002-03-01,2002-03-01,1,2002-03-01,30.292130640918653,1454,2005-03-01,-0.042055273453209696,0.10454301749072514,-0.13049555862277418,26.33914213105792,-0.29157574290497856,2003-02-01,2007-03-01,0.06174560204120905,0.2312313671906474,-0.13417759002984753,26.22760555465089,-0.29157574290497856,2003-02-01,2012-03-01,-0.06148816128762824,0.29767254581877456,-0.2719579802975559,22.053943972904708,-0.448398634340917,2009-03-01,earnings_driven,earnings_driven
5,2017-07-01,2017-07-01,1,2017-07-01,30.00222074401856,1638,2020-07-01,0.23483241292774948,0.252322347640735,-0.01343319948847188,29.599194927666993,-0.002124230910595659,2017-08-01,2022-07-01,0.31694204365868295,0.36768516982292243,-0.03325095283183399,29.00461831720893,-0.002124230910595659,2017-08-01,,,,,,,,incomplete,earnings_driven
6,2017-09-01,2018-11-01,15,2018-01-01,33.30734382803066,1644,2021-01-01,0.2885649445535514,0.24022932801252717,0.03618086366472939,34.5124322941069,-0.09208065729493098,2018-12-01,2023-01-01,0.17623684025277497,0.38266477535244925,-0.14929231312916091,28.334813423755683,-0.09208065729493098,2018-12-01,,,,,,,,incomplete,earnings_driven
7,2019-04-01,2019-04-01,1,2019-04-01,30.13351717138751,1659,2022-04-01,0.33670904300631244,0.18217096372907027,0.12463356212836674,33.88916475591384,-0.09566254369667293,2020-03-01,,,,,,,,,,,,,,,incomplete,incomplete
8,2019-12-01,2020-02-01,3,2020-01-01,30.985220300230697,1668,2023-01-01,0.04179963224851302,0.13735457029065867,-0.0855377773917354,28.334813423755683,-0.19135147954196008,2020-03-01,,,,,,,,,,,,,,,incomplete,incomplete
9,2020-08-01,2022-05-01,22,2021-11-01,38.5826274977192,1690,,,,,,,,,,,,,,,,,,,,,,incomplete,incomplete
10,2022-08-01,2022-08-01,1,2022-08-01,30.69876336517529,1699,,,,,,,,,,,,,,,,,,,,,,incomplete,incomplete
