price,dividend,earnings,cpi,gs10,real_price,real_earnings,cape,date,pe_ttm,real_earnings_10y_avg,cape_check
4.44,0.26,0.4,12.46406116,5.32,109.0500184933303,9.824325990390117,,1871-01-01,11.1,,
4.5,0.26,0.4,12.84464132,5.323333333333333,107.24890759347416,9.533236230531037,,1871-02-01,11.25,,
4.61,0.26,0.4,13.0349719,5.326666666666667,108.26626906652555,9.394036361520655,,1871-03-01,11.525,,
4.74,0.26,0.4,12.55922645,5.33,115.53612444021182,9.749883919005217,,1871-04-01,11.85,,
4.86,0.26,0.4,12.27381157,5.333333333333334,121.21578056782892,9.976607454142298,,1871-05-01,12.15,,
4.82,0.26,0.4,12.08348099,5.336666666666667,122.111711949654,10.133752029016929,,1871-06-01,12.05,,
4.73,0.26,0.4,12.08348099,5.34,119.83161774312518,10.133752029016929,,1871-07-01,11.825000000000001,,
4.79,0.26,0.4,11.8932314,5.343333333333334,123.29287774557214,10.29585617917095,,1871-08-01,11.975,,
4.84,0.26,0.4,12.17864628,5.346666666666668,121.6602458052505,10.054565769028967,,1871-09-01,12.1,,
4.59,0.26,0.4,12.36889587,5.3500000000000005,113.60150815143048,9.899913564394813,,1871-10-01,11.475,,
4.64,0.26,0.4,12.36889587,5.3533333333333335,114.83899734697982,9.899913564394813,,1871-11-01,11.599999999999998,,
4.74,0.26,0.4,12.65439174,5.3566666666666665,114.66725385253483,9.676561506543022,,1871-12-01,11.85,,
4.86,0.2633,0.4025,12.65439174,5.36,117.57022230449772,9.737040015958918,,1872-01-01,12.074534161490684,,
4.88,0.2667,0.405,12.65439174,5.378333333333333,118.05405037982489,9.797518525374812,,1872-02-01,12.049382716049381,,
5.04,0.27,0.4075,12.84464132,5.3966666666666665,120.11877650469104,9.711984409853493,,1872-03-01,12.368098159509204,,
5.18,0.2733,0.41,13.13013719,5.415000000000001,120.77104961307717,9.559098521498386,,1872-04-01,12.634146341463415,,
5.18,0.2767,0.4125,13.13013719,5.433333333333334,120.77104961307717,9.617385707605084,,1872-05-01,12.557575757575757,,
5.13,0.28,0.415,13.0349719,5.451666666666666,120.4785163365024,9.74631272507768,,1872-06-01,12.361445783132531,,
5.1,0.2833,0.4175,12.84464132,5.470000000000001,121.54876193927069,9.950315315616768,,1872-07-01,12.215568862275449,,
5.04,0.2867,0.42,12.93980661,5.488333333333333,119.2353677687614,9.936280647396783,,1872-08-01,12.0,,
4.95,0.29,0.4225,13.0349719,5.506666666666667,116.2511999738181,9.92245090685619,,1872-09-01,11.715976331360947,,
4.97,0.2933,0.425,12.74947603,5.5249999999999995,119.33460413745328,10.204669367890874,,1872-10-01,11.694117647058823,,
4.95,0.2967,0.4275,13.13013719,5.543333333333333,115.40862849126101,9.967108824245269,,1872-11-01,11.578947368421053,,
5.07,0.3,0.43,12.93980661,5.5616666666666665,119.94510210071832,10.172858758049088,,1872-12-01,11.790697674418606,,
5.11,0.3025,0.4325,12.93980661,5.58,120.89141454332754,10.232003285712164,,1873-01-01,11.815028901734104,,
5.15,0.305,0.435,13.22522149,5.570833333333334,119.20833433240291,10.069053482445682,,1873-02-01,11.839080459770116,,
5.11,0.3075,0.4375,13.22522149,5.561666666666666,118.28244435700562,10.126921605908015,,1873-03-01,11.680000000000001,,
5.04,0.31,0.44,13.22522149,5.552499999999999,116.66213690006032,10.184789729370346,,1873-04-01,11.454545454545455,,
5.05,0.3125,0.4425,12.93980661,5.543333333333333,119.47194587941371,10.468581396364469,,1873-05-01,11.412429378531073,,
4.98,0.315,0.445,12.55922645,5.534166666666667,121.38605479161495,10.846745859893304,,1873-06-01,11.191011235955058,,
4.97,0.3175,0.4475,12.55922645,5.525,121.1423076936398,10.907682634387086,,1873-07-01,11.106145251396647,,
4.97,0.32,0.45,12.55922645,5.515833333333333,121.1423076936398,10.968619408880867,,1873-08-01,11.044444444444444,,
4.59,0.3225,0.4525,12.55922645,5.506666666666667,111.87991797058486,11.029556183374652,,1873-09-01,10.143646408839778,,
4.19,0.325,0.455,12.27381157,5.4975000000000005,104.50496308214059,11.348390979086865,,1873-10-01,9.20879120879121,,
4.04,0.3275,0.4575,11.8932314,5.488333333333332,103.98814740962662,11.775885504926777,,1873-11-01,8.830601092896174,,
4.42,0.33,0.46,12.17864628,5.479166666666666,111.10295174777008,11.562750634383313,,1873-12-01,9.608695652173912,,
4.66,0.33,0.46,12.36889587,5.47,115.33399302519958,11.384900599054037,,1874-01-01,10.130434782608695,,
4.8,0.33,0.46,12.36889587,5.4366666666666665,118.79896277273775,11.384900599054037,,1874-02-01,10.43478260869565,,
4.73,0.33,0.46,12.36889587,5.403333333333332,117.06647789896867,11.384900599054037,,1874-03-01,10.282608695652174,,
4.6,0.33,0.46,12.17864628,5.37,115.6275063438331,11.562750634383313,,1874-04-01,9.999999999999998,,
4.48,0.33,0.46,12.08348099,5.336666666666667,113.49802272498961,11.653814833369468,,1874-05-01,9.73913043478261,,
4.46,0.33,0.46,11.79806612,5.303333333333334,115.72478371565524,11.935740024484623,,1874-06-01,9.695652173913043,,
4.46,0.33,0.46,11.8932314,5.27,114.7987963977561,11.840234606046595,,1874-07-01,9.695652173913043,,
4.47,0.33,0.46,11.79806612,5.236666666666666,115.98425632488316,11.935740024484623,,1874-08-01,9.717391304347824,,
4.54,0.33,0.46,11.79806612,5.203333333333333,117.80056458947864,11.935740024484623,,1874-09-01,9.869565217391305,,
4.53,0.33,0.46,11.60773554,5.17,119.46839848489518,12.131448852770813,,1874-10-01,9.847826086956522,,
4.57,0.33,0.46,11.51265124,5.136666666666667,121.51872282374461,12.231643872849569,,1874-11-01,9.934782608695652,,
4.54,0.33,0.46,11.51265124,5.1033333333333335,120.72100691899355,12.231643872849569,,1874-12-01,9.869565217391305,,
4.54,0.3275,0.4517,11.51265124,5.07,120.72100691899355,12.010942472535108,,1875-01-01,10.050918751383662,,
4.53,0.325,0.4433,11.51265124,5.03,120.45510161740988,11.78758201920481,,1875-02-01,10.218813444619895,,
4.59,0.3225,0.435,11.51265124,4.99,122.05053342691198,11.56688061889035,,1875-03-01,10.551724137931034,,
4.65,0.32,0.4267,11.60773554,4.95,122.63312427257452,11.253237446689793,,1875-04-01,10.8975861260839,,
4.47,0.3175,0.4183,11.32232066,4.91,120.85772573411639,11.309795676640018,,1875-05-01,10.686110447047573,,
